Follower Athlete ID,Follow Status,Created At
61598139,Accepted,"Jun 14, 2021, 3:00:43 PM"
42606137,Accepted,"Jun 14, 2021, 9:24:58 PM"
38326569,Accepted,"Jun 27, 2021, 3:12:15 PM"
44165094,Accepted,"Jun 29, 2021, 9:54:04 PM"
71563132,Accepted,"Sep 27, 2021, 7:31:43 PM"
34117547,Accepted,"Mar 26, 2022, 6:43:55 PM"
66057426,Accepted,"Sep 24, 2022, 5:02:25 PM"
108684954,Accepted,"Sep 25, 2022, 6:18:02 PM"
104782409,Accepted,"Oct 8, 2022, 5:00:06 PM"
35330745,Accepted,"Nov 23, 2022, 11:39:50 AM"
41848888,Accepted,"Jan 22, 2023, 2:06:56 PM"
115940774,Accepted,"Apr 3, 2023, 9:55:29 AM"
41032754,Accepted,"Apr 8, 2023, 3:39:24 PM"
124699472,Accepted,"Sep 18, 2023, 10:45:47 AM"
117762184,Accepted,"Oct 3, 2023, 4:19:40 AM"
