Following Athlete ID,Follow Status,Created At
41432046,Accepted,"Jun 13, 2021, 11:06:18 AM"
38326569,Accepted,"Jun 13, 2021, 11:36:14 AM"
62400210,Accepted,"Jun 13, 2021, 11:36:24 AM"
61598139,Accepted,"Jun 14, 2021, 2:29:45 PM"
44165094,Accepted,"Jun 29, 2021, 9:54:19 PM"
42606137,Accepted,"Jul 8, 2021, 5:24:55 AM"
71563132,Accepted,"Sep 27, 2021, 4:41:46 PM"
6633153,Accepted,"Jan 23, 2022, 3:04:53 PM"
34117547,Accepted,"Mar 26, 2022, 10:17:46 PM"
66057426,Accepted,"Sep 24, 2022, 2:49:13 PM"
63193824,Accepted,"Sep 24, 2022, 2:49:26 PM"
58601750,Accepted,"Sep 24, 2022, 2:49:38 PM"
30930520,Accepted,"Sep 24, 2022, 2:50:31 PM"
79330202,Accepted,"Sep 24, 2022, 2:50:46 PM"
108684954,Accepted,"Sep 25, 2022, 7:07:14 PM"
35330745,Accepted,"Nov 23, 2022, 12:08:28 PM"
38627302,Accepted,"Nov 27, 2022, 1:49:30 AM"
104782409,Accepted,"Nov 30, 2022, 10:20:16 PM"
27608857,Accepted,"Dec 19, 2022, 11:11:16 PM"
41848888,Accepted,"Jan 21, 2023, 1:00:40 AM"
115940774,Accepted,"Apr 3, 2023, 9:59:09 AM"
124699472,Accepted,"Oct 8, 2023, 5:55:25 PM"
41032754,Accepted,"Oct 8, 2023, 5:55:32 PM"
