Route Name,Route Filename
Adlitzgrabenstraße-Hochstraße-Carolusstraße,routes/1.gpx
Adlitzgrabenstraße-Hochstraße-Carolusstraße,routes/2.gpx
Lund kółeczko 14 K,routes/3.gpx
Po lund,routes/4.gpx
0 km Run Route,routes/5.gpx
Hardeberga - Skrylle - Trollskogen,routes/6.gpx
Hjarup - Lomma - Kalby,routes/7.gpx
Stadsparken - Wokół jezior - Ideon Park z pętlą za,routes/8.gpx
Värpinge skolbacke-Hålvägen-Gässlingavägen,routes/9.gpx
Bulwar Jana Karskiego-Rafała Krajewskiego-Kaniowska,routes/10.gpx
Śl.Dąbrowski - Północny - Siekierkowski,routes/11.gpx
Mariew - Ćwikowa góra - Sieraków - Izabelin B,routes/12.gpx
Wierszowska Droga-Truskawska Droga-3 Maja,routes/13.gpx
Brzóze 30km,routes/14.gpx
Krakowskie przedmieście - Ujazdowskie Łazienki - Łazienkowski,routes/15.gpx
Aleja Jerzego Waszyngtona-Jagiellońska-Stefana Okrzei,routes/16.gpx
SIekierkowski - Łazienki,routes/17.gpx
Most Płn - Pętla na Młocinach - Las Bielański ,routes/18.gpx
Most Płn - Las Bielański - Skaryszewski Pętla,routes/19.gpx
0 km Run Route,routes/20.gpx
Olszowa-Waleriana Łukasińskiego-Bulwar Jana Karskiego,routes/21.gpx
